inflow_vol,month,starting_stage
1182,May,3822.00
1109,September,3809.92
1222,June,3831.54
1141,May,3834.94
1137,June,3809.55
1207,May,3852.66
1216,April,3822.67
1157,July,3841.26
1139,July,3838.04
1170,August,3844.09
1189,June,3811.76
1157,May,3813.82
1212,June,3828.38
1182,May,3807.11
1196,August,3800.08
1137,August,3815.91
1174,June,3855.22
1277,May,3809.60
1237,July,3801.71
1230,June,3836.74
1217,August,3850.58
1232,August,3797.89
1178,May,3806.80
1229,June,3858.19
1175,August,3833.81
1269,June,3804.34
1190,April,3814.13
1230,June,3814.09
1278,May,3850.84
1235,May,3808.79
1297,May,3832.32
1331,June,3829.89
1266,June,3802.15
1181,May,3807.38
1271,June,3829.71
1200,May,3853.07
1153,June,3803.30
1273,June,3805.38
1261,April,3814.41
1207,July,3795.68
1193,May,3817.06
1304,June,3841.17
1218,April,3853.71
1286,June,3821.67
1247,May,3832.26
1294,May,3839.18
1265,July,3842.95
1274,May,3809.87
1263,July,3806.78
1248,July,3803.69
1206,July,3806.57
1194,August,3827.17
1247,July,3807.00
1304,July,3815.47
1321,June,3847.76
1306,May,3807.54
1242,May,3818.58
1235,August,3797.71
1379,May,3825.65
1227,June,3805.73
1261,August,3815.16
1325,July,3853.38
1267,May,3816.85
1268,July,3852.99
1323,July,3807.13
1262,May,3820.67
1239,June,3814.64
1292,May,3848.38
1294,May,3809.26
1317,September,3793.05
1328,June,3810.78
1291,September,3840.78
1340,June,3838.27
1281,September,3797.87
1285,May,3830.05
1291,May,3807.26
1269,August,3798.26
1311,August,3818.82
1361,July,3852.55
1356,June,3808.68
1298,August,3809.92
1350,August,3821.07
1303,July,3849.77
1361,June,3843.87
1389,June,3852.99
1381,June,3808.21
1366,May,3848.23
1268,August,3849.96
1301,June,3816.59
1301,August,3833.57
1372,July,3833.08
1259,July,3842.00
1289,May,3799.73
1306,August,3810.02
1361,August,3802.13
1352,May,3817.05
1410,May,3813.15
1374,May,3855.95
1404,May,3821.34
1336,May,3822.89
1331,May,3849.09
1434,July,3852.18
1383,June,3811.06
1342,August,3799.15
1496,June,3802.08
1449,June,3838.62
1383,July,3798.58
1361,September,3797.12
1338,June,3839.52
1454,July,3843.48
1380,June,3813.14
1538,August,3820.62
1448,June,3821.17
1479,July,3814.07
1418,June,3851.33
1437,July,3836.19
1436,May,3812.97
1440,May,3839.38
1306,August,3852.10
1430,June,3804.07
1383,June,3808.01
1465,May,3827.59
1497,August,3843.64
1384,June,3846.19
1501,July,3801.39
1381,August,3801.94
1459,July,3802.09
1479,May,3835.73
1403,May,3806.51
1444,May,3804.91
1476,June,3844.19
1457,August,3821.65
1471,June,3832.24
1390,June,3807.57
1423,May,3813.58
1478,June,3836.33
1507,July,3843.13
